iter	Passed	Remaining
0	1	194
1	3	177
2	5	174
3	6	160
4	8	158
5	10	162
6	12	160
7	13	158
8	16	163
9	18	162
10	19	159
11	21	157
12	23	158
13	25	156
14	27	154
15	29	153
16	30	151
17	33	151
18	35	150
19	38	153
20	40	153
21	42	151
22	44	150
23	47	148
24	48	146
25	50	143
26	53	143
27	55	142
28	57	140
29	59	138
30	61	137
31	63	135
32	65	133
33	67	131
34	69	129
35	71	127
36	73	125
37	75	123
38	77	121
39	79	119
40	81	117
41	82	114
42	84	112
43	86	110
44	88	108
45	90	106
46	92	104
47	94	102
48	96	100
49	98	98
50	99	96
51	101	93
52	103	91
53	105	89
54	106	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	116	74
61	117	72
62	119	70
63	121	68
64	122	66
65	124	64
66	126	62
67	127	60
68	128	57
69	130	55
70	132	54
71	134	52
72	135	50
73	137	48
74	138	46
75	140	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	153	29
84	155	27
85	157	25
86	158	23
87	160	21
88	162	20
89	163	18
90	165	16
91	166	14
92	168	12
93	169	10
94	171	9
95	173	7
96	174	5
97	176	3
98	177	1
99	179	0
